word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
pry,1,0,0,0,0,0,0,pri
fee,1,0,0,0,0,0,0,fee
oppressive,1,1,1,0,1,0,0,oppress
revolt,1,0,0,0,0,1,0,revolt
prison,1,0,1,0,1,0,0,prison
wrongdoing,1,1,0,0,1,0,0,wrongdo
disgusting,1,1,1,0,0,0,0,disgust
hellish,1,1,1,0,1,0,0,hellish
massacre,1,1,1,0,1,0,0,massacr
disused,1,0,0,0,0,0,0,disus
bogus,1,1,0,0,0,0,0,bogu
poison,1,1,1,0,1,0,0,poison
suffocation,1,0,1,0,0,0,0,suffoc
insult,1,1,0,0,1,1,0,insult
loss,1,0,1,0,1,0,0,loss
lace,1,0,1,0,1,0,0,lace
willful,1,0,0,0,1,0,0,will
abuse,1,1,1,0,1,0,0,abus
blame,1,1,0,0,0,0,0,blame
demand,1,0,0,0,0,0,0,demand
strife,1,0,0,0,0,0,0,strife
anarchy,1,0,1,0,0,0,0,anarchi
raid,1,0,1,0,0,1,0,raid
bout,1,0,0,0,0,0,0,bout
decry,1,0,0,0,0,0,0,decri
gang,1,0,1,0,0,0,0,gang
aftermath,1,1,1,0,1,0,0,aftermath
deflate,1,0,0,0,1,0,0,deflat
disagree,1,0,0,0,0,0,0,disagre
brute,1,0,1,0,1,0,0,brute
restriction,1,0,1,0,1,0,0,restrict
inferno,1,0,1,0,0,0,0,inferno
argumentation,1,0,0,0,0,0,0,argument
jeopardize,1,0,1,0,0,0,0,jeopard
irritable,1,0,0,0,0,0,0,irrit
doomsday,1,1,1,0,1,0,0,doomsday
bloodthirsty,1,1,1,0,0,0,0,bloodthirsti
displaced,1,0,1,0,1,0,0,displac
greed,1,1,0,0,0,0,0,greed
spanking,1,0,0,0,0,0,0,spank
buffet,1,0,0,0,0,0,0,buffet
sinful,1,1,1,0,1,0,0,sin
delusional,1,0,1,0,0,0,0,delusion
ruined,1,1,1,0,1,0,0,ruin
birthplace,1,0,0,0,0,0,0,birthplac
frustration,1,0,0,0,0,0,0,frustrat
entangled,1,1,1,0,1,0,0,entangl
hostilities,1,0,1,0,0,0,0,hostil
skid,1,0,1,0,1,0,0,skid
nasty,1,1,1,0,1,0,0,nasti
